side	eta	eta_r	phi	dphi	depth	det	rbx	sector	rm	pixel	qie	adc	rm_fi	fi_ch	let_code	crate	block_coupler	htr	fpga	htr_fi	dcc_sl	spigo	dcc	fedid	QIEId	index	oSLBmap	htr_ch	index	oSLB_link	oSLBbit	CSL_i	TwinMux	TwinMux_link	TwinMux_bit	ring	HO label	TwinMux label	old HO label
-1	13	-13	8	1	4	HO	HO2M02	2	3	5	2	3	5	2	D	3	9.1	6	top	3	10	8	1	724	101168	224	18	32	896	1	6	181	YB-2_S2	6	6	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	12	-12	8	1	4	HO	HO2M02	2	3	12	1	0	2	0	E	3	9.09	6	top	4	10	8	1	724	101139	296	18	33	897	1	9	181	YB-2_S2	6	9	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	12	-12	9	1	4	HO	HO2M02	2	3	7	1	1	2	1	L	3	9.09	6	top	4	10	8	1	724	101139	297	18	34	898	1	10	181	YB-2_S2	6	10	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	12	-12	10	1	4	HO	HO2M02	2	3	3	1	2	2	2	S	3	9.09	6	top	4	10	8	1	724	101139	298	18	35	899	1	11	181	YB-2_S2	6	11	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	11	-11	9	1	4	HO	HO2M02	2	3	4	1	4	3	0	M	3	8.12	6	top	5	10	8	1	724	101139	369	18	36	900	1	13	181	YB-2_S2	6	13	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	11	-11	10	1	4	HO	HO2M02	2	3	8	1	5	3	1	T	3	8.12	6	top	5	10	8	1	724	101139	370	18	37	901	1	14	181	YB-2_S2	6	14	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	11	-11	8	1	4	HO	HO2M02	2	3	1	1	3	3	2	F	3	8.12	6	top	5	10	8	1	724	101139	368	18	38	902	1	12	181	YB-2_S2	6	12	-2	S2F02_CR03_HTR06_Slot-t	RPC_YB-2_S2_Fib6_HO_CR03_HTR06_Slot-t	HO_S2_Hn1
-1	7	-7	6	1	4	HO	HO1M02	2	3	9	2	4	5	0	K	3	12.01	7	bot	1	10	11	1	724	100987	654	3	0	144	1	10	184	YB-1_S2	6	10	-1	S2F02_CR03_HTR07_Slot-t	RPC_YB-1_S2_Fib6_HO_CR03_HTR07_Slot-t	HO_S2_Hn2
-1	7	-7	7	1	4	HO	HO1M02	2	3	13	2	5	5	1	R	3	12.01	7	bot	1	10	11	1	724	100987	655	3	1	145	1	11	184	YB-1_S2	6	11	-1	S2F02_CR03_HTR07_Slot-t	RPC_YB-1_S2_Fib6_HO_CR03_HTR07_Slot-t	HO_S2_Hn2
-1	7	-7	5	1	4	HO	HO1M02	2	3	5	2	3	5	2	D	3	12.01	7	bot	1	10	11	1	724	100987	653	3	2	146	1	9	184	YB-1_S2	6	9	-1	S2F02_CR03_HTR07_Slot-t	RPC_YB-1_S2_Fib6_HO_CR03_HTR07_Slot-t	HO_S2_Hn2
